TimeSlice	Time	LH_AnkleZ	LH_Knee	LH_HipZ
2168	1.17072	0.851191	0.63944	0.324749
2169	1.17126	0.85129	0.6397	0.32552
2170	1.1718	0.851391	0.639982	0.326283
2171	1.17234	0.851493	0.640285	0.327042
2172	1.17288	0.851597	0.64061	0.327798
2173	1.17342	0.851703	0.640954	0.32855
2174	1.17396	0.851809	0.64132	0.329298
2175	1.1745	0.851916	0.641705	0.330043
2176	1.17504	0.852024	0.64211	0.330784
2177	1.17558	0.852132	0.642534	0.331521
2178	1.17612	0.852241	0.642976	0.332255
2179	1.17666	0.852349	0.643438	0.332985
2180	1.1772	0.852457	0.643917	0.33371
2181	1.17774	0.852565	0.644415	0.334432
2182	1.17828	0.852672	0.644929	0.335149
2183	1.17882	0.852778	0.645461	0.335863
2184	1.17936	0.852882	0.646009	0.336573
2185	1.1799	0.852986	0.646574	0.337278
2186	1.18044	0.853087	0.647154	0.337979
2187	1.18098	0.853187	0.647749	0.338676
2188	1.18152	0.853285	0.648359	0.339368
2189	1.18206	0.85338	0.648984	0.340057
2190	1.1826	0.853472	0.649623	0.340741
2191	1.18314	0.853562	0.650275	0.34142
2192	1.18368	0.853648	0.650941	0.342095
2193	1.18422	0.853731	0.651619	0.342766
2194	1.18476	0.853811	0.65231	0.343432
2195	1.1853	0.853886	0.653012	0.344093
2196	1.18584	0.853957	0.653726	0.34475
2197	1.18638	0.854024	0.654451	0.345403
2198	1.18692	0.854087	0.655186	0.34605
2199	1.18746	0.854144	0.655931	0.346693
2200	1.188	0.854196	0.656685	0.347331
2201	1.18854	0.854242	0.657449	0.347964
2202	1.18908	0.854283	0.658221	0.348593
2203	1.18962	0.854318	0.659001	0.349216
2204	1.19016	0.854347	0.659789	0.349835
2205	1.1907	0.854369	0.660584	0.350448
2206	1.19124	0.854384	0.661386	0.351057
2207	1.19178	0.854392	0.662193	0.351661
2208	1.19232	0.854393	0.663007	0.352259
2209	1.19286	0.854387	0.663826	0.352852
2210	1.1934	0.854373	0.664649	0.353441
2211	1.19394	0.854351	0.665476	0.354024
2212	1.19448	0.854321	0.666308	0.354601
2213	1.19502	0.854282	0.667142	0.355174
2214	1.19556	0.854235	0.66798	0.355741
2215	1.1961	0.854178	0.668819	0.356303
2216	1.19664	0.854112	0.669661	0.356859
2217	1.19718	0.854036	0.670503	0.35741
2218	1.19772	0.853951	0.671347	0.357956
2219	1.19826	0.853855	0.672191	0.358496
2220	1.1988	0.85375	0.673035	0.35903
2221	1.19934	0.853634	0.673878	0.359559
2222	1.19988	0.853507	0.67472	0.360083
2223	1.20042	0.853369	0.675561	0.3606
2224	1.20096	0.85322	0.676399	0.361113
2225	1.2015	0.85306	0.677235	0.361619
2226	1.20204	0.852888	0.678068	0.362119
2227	1.20258	0.852705	0.678898	0.362614
2228	1.20312	0.852509	0.679723	0.363103
2229	1.20366	0.852301	0.680545	0.363586
2230	1.2042	0.85208	0.681361	0.364063
2231	1.20474	0.851847	0.682172	0.364534
2232	1.20528	0.851601	0.682978	0.365
2233	1.20582	0.851343	0.683777	0.365459
2234	1.20636	0.85107	0.68457	0.365912
2235	1.2069	0.850785	0.685356	0.366359
2236	1.20744	0.850486	0.686134	0.366801
2237	1.20798	0.850173	0.686904	0.367235
2238	1.20852	0.849846	0.687666	0.367664
2239	1.20906	0.849505	0.688419	0.368087
2240	1.2096	0.849149	0.689163	0.368503
2241	1.21014	0.848779	0.689898	0.368913
2242	1.21068	0.848395	0.690622	0.369317
2243	1.21122	0.847996	0.691336	0.369714
2244	1.21176	0.847582	0.692039	0.370106
2245	1.2123	0.847153	0.692731	0.37049
2246	1.21284	0.846708	0.693412	0.370868
2247	1.21338	0.846249	0.694081	0.37124
2248	1.21392	0.845774	0.694737	0.371606
2249	1.21446	0.845283	0.69538	0.371964
2250	1.215	0.844777	0.696011	0.372317
2251	1.21554	0.844255	0.696628	0.372662
2252	1.21608	0.843717	0.697232	0.373001
2253	1.21662	0.843163	0.697821	0.373334
2254	1.21716	0.842593	0.698396	0.373659
2255	1.2177	0.842007	0.698957	0.373978
2256	1.21824	0.841405	0.699502	0.374291
2257	1.21878	0.840786	0.700032	0.374596
2258	1.21932	0.840151	0.700546	0.374895
2259	1.21986	0.839499	0.701044	0.375187
2260	1.2204	0.838831	0.701527	0.375472
2261	1.22094	0.838147	0.701992	0.37575
2262	1.22148	0.837446	0.702441	0.376022
2263	1.22202	0.836728	0.702873	0.376286
2264	1.22256	0.835993	0.703287	0.376543
2265	1.2231	0.835242	0.703684	0.376794
2266	1.22364	0.834474	0.704063	0.377037
2267	1.22418	0.83369	0.704425	0.377274
2268	1.22472	0.832888	0.704767	0.377503
2269	1.22526	0.83207	0.705092	0.377725
2270	1.2258	0.831235	0.705398	0.377941
2271	1.22634	0.830384	0.705684	0.378149
2272	1.22688	0.829515	0.705952	0.37835
2273	1.22742	0.82863	0.706201	0.378543
2274	1.22796	0.827729	0.70643	0.37873
2275	1.2285	0.82681	0.706639	0.378909
2276	1.22904	0.825876	0.706829	0.379081
2277	1.22958	0.824924	0.706999	0.379246
2278	1.23012	0.823956	0.707149	0.379404
2279	1.23066	0.822972	0.707279	0.379554
2280	1.2312	0.821971	0.707388	0.379697
2281	1.23174	0.820954	0.707477	0.379832
2282	1.23228	0.819921	0.707546	0.37996
2283	1.23282	0.818872	0.707593	0.380081
2284	1.23336	0.817806	0.707621	0.380194
2285	1.2339	0.816725	0.707627	0.3803
2286	1.23444	0.815628	0.707613	0.380398
2287	1.23498	0.814515	0.707577	0.380489
2288	1.23552	0.813386	0.707521	0.380573
2289	1.23606	0.812242	0.707444	0.380649
2290	1.2366	0.811083	0.707345	0.380717
2291	1.23714	0.809908	0.707226	0.380778
2292	1.23768	0.808718	0.707085	0.380831
2293	1.23822	0.807513	0.706924	0.380876
2294	1.23876	0.806293	0.706741	0.380914
2295	1.2393	0.805059	0.706537	0.380945
2296	1.23984	0.80381	0.706312	0.380967
2297	1.24038	0.802546	0.706066	0.380982
2298	1.24092	0.801268	0.705799	0.38099
2299	1.24146	0.799977	0.705511	0.38099
2300	1.242	0.798671	0.705202	0.380982
2301	1.24254	0.797352	0.704872	0.380966
2302	1.24308	0.796019	0.704521	0.380942
2303	1.24362	0.794673	0.70415	0.380911
2304	1.24416	0.793313	0.703758	0.380872
2305	1.2447	0.791941	0.703345	0.380825
2306	1.24524	0.790556	0.702912	0.380771
2307	1.24578	0.789159	0.702458	0.380708
2308	1.24632	0.787749	0.701984	0.380638
2309	1.24686	0.786327	0.70149	0.38056
2310	1.2474	0.784893	0.700976	0.380474
2311	1.24794	0.783447	0.700442	0.380381
2312	1.24848	0.78199	0.699888	0.380279
2313	1.24902	0.780521	0.699315	0.38017
2314	1.24956	0.779042	0.698722	0.380052
2315	1.2501	0.777552	0.698109	0.379927
2316	1.25064	0.776051	0.697478	0.379794
2317	1.25118	0.77454	0.696828	0.379653
2318	1.25172	0.773019	0.696158	0.379504
2319	1.25226	0.771488	0.695471	0.379347
2320	1.2528	0.769948	0.694764	0.379182
2321	1.25334	0.768398	0.69404	0.379009
2322	1.25388	0.766839	0.693298	0.378829
2323	1.25442	0.765271	0.692537	0.37864
2324	1.25496	0.763695	0.69176	0.378443
2325	1.2555	0.76211	0.690964	0.378239
2326	1.25604	0.760518	0.690152	0.378026
2327	1.25658	0.758917	0.689323	0.377805
2328	1.25712	0.757309	0.688477	0.377577
2329	1.25766	0.755694	0.687615	0.37734
2330	1.2582	0.754071	0.686736	0.377096
2331	1.25874	0.752442	0.685842	0.376843
2332	1.25928	0.750807	0.684932	0.376583
2333	1.25982	0.749165	0.684006	0.376314
2334	1.26036	0.747517	0.683066	0.376038
2335	1.2609	0.745864	0.68211	0.375753
2336	1.26144	0.744205	0.68114	0.37546
2337	1.26198	0.742541	0.680156	0.37516
2338	1.26252	0.740872	0.679157	0.374851
2339	1.26306	0.739198	0.678145	0.374535
2340	1.2636	0.73752	0.67712	0.37421
2341	1.26414	0.735838	0.676081	0.373877
2342	1.26468	0.734152	0.675029	0.373537
2343	1.26522	0.732462	0.673965	0.373188
2344	1.26576	0.730769	0.672888	0.372831
2345	1.2663	0.729074	0.6718	0.372467
2346	1.26684	0.727375	0.6707	0.372094
2347	1.26738	0.725673	0.669588	0.371713
2348	1.26792	0.72397	0.668466	0.371325
2349	1.26846	0.722264	0.667332	0.370928
2350	1.269	0.720557	0.666189	0.370523
2351	1.26954	0.718848	0.665035	0.370111
2352	1.27008	0.717137	0.663871	0.36969
2353	1.27062	0.715426	0.662698	0.369261
2354	1.27116	0.713714	0.661516	0.368825
2355	1.2717	0.712001	0.660325	0.36838
2356	1.27224	0.710288	0.659125	0.367928
2357	1.27278	0.708575	0.657917	0.367467
2358	1.27332	0.706861	0.656702	0.366999
2359	1.27386	0.705149	0.655478	0.366522
2360	1.2744	0.703436	0.654248	0.366038
2361	1.27494	0.701725	0.653011	0.365546
2362	1.27548	0.700015	0.651767	0.365046
2363	1.27602	0.698306	0.650517	0.364538
2364	1.27656	0.696598	0.64926	0.364022
2365	1.2771	0.694892	0.647999	0.363498
2366	1.27764	0.693188	0.646732	0.362966
2367	1.27818	0.691485	0.64546	0.362426
2368	1.27872	0.689785	0.644183	0.361879
2369	1.27926	0.688088	0.642902	0.361324
2370	1.2798	0.686393	0.641617	0.360761
2371	1.28034	0.684701	0.640328	0.36019
2372	1.28088	0.683011	0.639036	0.359611
2373	1.28142	0.681325	0.637741	0.359024
2374	1.28196	0.679642	0.636443	0.35843
2375	1.2825	0.677963	0.635143	0.357828
2376	1.28304	0.676287	0.63384	0.357218
2377	1.28358	0.674615	0.632535	0.356601
2378	1.28412	0.672947	0.631229	0.355975
2379	1.28466	0.671283	0.629922	0.355342
2380	1.2852	0.669623	0.628614	0.354702
2381	1.28574	0.667967	0.627305	0.354053
2382	1.28628	0.666316	0.625995	0.353397
2383	1.28682	0.664669	0.624686	0.352733
2384	1.28736	0.663027	0.623377	0.352062
2385	1.2879	0.66139	0.622068	0.351383
2386	1.28844	0.659757	0.62076	0.350697
2387	1.28898	0.65813	0.619453	0.350003
2388	1.28952	0.656507	0.618147	0.349301
2389	1.29006	0.654889	0.616842	0.348592
2390	1.2906	0.653277	0.61554	0.347875
2391	1.29114	0.65167	0.614239	0.347151
2392	1.29168	0.650068	0.612941	0.346419
2393	1.29222	0.648472	0.611646	0.34568
2394	1.29276	0.646881	0.610353	0.344933
2395	1.2933	0.645295	0.609063	0.34418
2396	1.29384	0.643715	0.607777	0.343418
2397	1.29438	0.642141	0.606494	0.342649
2398	1.29492	0.640572	0.605215	0.341873
2399	1.29546	0.639008	0.603939	0.34109
2400	1.296	0.63745	0.602668	0.340299
2401	1.29654	0.635898	0.601402	0.339501
2402	1.29708	0.634351	0.60014	0.338696
2403	1.29762	0.63281	0.598882	0.337884
2404	1.29816	0.631275	0.59763	0.337064
2405	1.2987	0.629745	0.596383	0.336237
2406	1.29924	0.62822	0.595141	0.335404
2407	1.29978	0.626701	0.593905	0.334562
2408	1.30032	0.625187	0.592675	0.333714
2409	1.30086	0.623679	0.59145	0.332859
2410	1.3014	0.622176	0.590232	0.331997
2411	1.30194	0.620679	0.58902	0.331128
2412	1.30248	0.619186	0.587814	0.330251
2413	1.30302	0.617699	0.586615	0.329368
2414	1.30356	0.616217	0.585422	0.328478
2415	1.3041	0.61474	0.584237	0.327581
2416	1.30464	0.613268	0.583058	0.326677
2417	1.30518	0.6118	0.581886	0.325766
2418	1.30572	0.610338	0.580722	0.324849
2419	1.30626	0.60888	0.579565	0.323924
2420	1.3068	0.607426	0.578415	0.322993
2421	1.30734	0.605977	0.577274	0.322055
2422	1.30788	0.604532	0.576139	0.321111
2423	1.30842	0.603091	0.575013	0.32016
2424	1.30896	0.601655	0.573894	0.319202
2425	1.3095	0.600222	0.572784	0.318238
2426	1.31004	0.598792	0.571681	0.317267
2427	1.31058	0.597367	0.570587	0.316289
2428	1.31112	0.595945	0.5695	0.315305
2429	1.31166	0.594526	0.568422	0.314315
2430	1.3122	0.59311	0.567352	0.313318
2431	1.31274	0.591697	0.566291	0.312315
2432	1.31328	0.590287	0.565238	0.311305
2433	1.31382	0.58888	0.564194	0.310289
2434	1.31436	0.587475	0.563158	0.309267
2435	1.3149	0.586072	0.562131	0.308239
2436	1.31544	0.584671	0.561112	0.307204
2437	1.31598	0.583272	0.560102	0.306163
2438	1.31652	0.581875	0.5591	0.305116
2439	1.31706	0.580479	0.558107	0.304063
2440	1.3176	0.579085	0.557123	0.303004
2441	1.31814	0.577691	0.556147	0.301939
2442	1.31868	0.576299	0.55518	0.300868
2443	1.31922	0.574907	0.554222	0.299791
2444	1.31976	0.573515	0.553273	0.298708
2445	1.3203	0.572124	0.552332	0.297619
2446	1.32084	0.570732	0.551399	0.296524
2447	1.32138	0.56934	0.550476	0.295424
2448	1.32192	0.567948	0.549561	0.294317
2449	1.32246	0.566555	0.548654	0.293205
2450	1.323	0.565162	0.547756	0.292088
2451	1.32354	0.563767	0.546867	0.290964
2452	1.32408	0.56237	0.545986	0.289836
2453	1.32462	0.560972	0.545113	0.288701
2454	1.32516	0.559572	0.544249	0.287561
2455	1.3257	0.55817	0.543393	0.286416
2456	1.32624	0.556766	0.542546	0.285265
2457	1.32678	0.555359	0.541706	0.284109
2458	1.32732	0.55395	0.540875	0.282947
2459	1.32786	0.552537	0.540052	0.28178
2460	1.3284	0.551121	0.539237	0.280608
2461	1.32894	0.549701	0.53843	0.279431
2462	1.32948	0.548278	0.537631	0.278249
2463	1.33002	0.546851	0.536839	0.277061
2464	1.33056	0.545419	0.536056	0.275868
2465	1.3311	0.543983	0.53528	0.274671
2466	1.33164	0.542543	0.534512	0.273468
2467	1.33218	0.541097	0.533751	0.27226
2468	1.33272	0.539646	0.532997	0.271048
2469	1.33326	0.53819	0.532252	0.26983
2470	1.3338	0.536728	0.531513	0.268608
2471	1.33434	0.53526	0.530781	0.267381
2472	1.33488	0.533786	0.530057	0.26615
2473	1.33542	0.532306	0.52934	0.264913
2474	1.33596	0.530819	0.528629	0.263672
2475	1.3365	0.529326	0.527925	0.262427
2476	1.33704	0.527825	0.527229	0.261177
2477	1.33758	0.526318	0.526538	0.259922
2478	1.33812	0.524803	0.525855	0.258663
2479	1.33866	0.52328	0.525177	0.2574
2480	1.3392	0.52175	0.524506	0.256132
2481	1.33974	0.520211	0.523842	0.254861
2482	1.34028	0.518665	0.523183	0.253584
2483	1.34082	0.51711	0.522531	0.252304
2484	1.34136	0.515546	0.521884	0.251019
2485	1.3419	0.513974	0.521244	0.249731
2486	1.34244	0.512393	0.520609	0.248438
2487	1.34298	0.510803	0.51998	0.247142
2488	1.34352	0.509203	0.519357	0.245841
2489	1.34406	0.507594	0.518739	0.244536
2490	1.3446	0.505976	0.518126	0.243228
2491	1.34514	0.504348	0.517519	0.241916
2492	1.34568	0.502709	0.516917	0.2406
2493	1.34622	0.501061	0.51632	0.239281
2494	1.34676	0.499403	0.515729	0.237957
2495	1.3473	0.497735	0.515142	0.236631
2496	1.34784	0.496056	0.51456	0.2353
2497	1.34838	0.494367	0.513984	0.233967
2498	1.34892	0.492667	0.513411	0.232629
2499	1.34946	0.490956	0.512844	0.231289
2500	1.35	0.489235	0.512281	0.229945
2501	1.35054	0.487503	0.511723	0.228598
2502	1.35108	0.48576	0.511169	0.227247
2503	1.35162	0.484006	0.51062	0.225894
2504	1.35216	0.48224	0.510074	0.224537
2505	1.3527	0.480464	0.509534	0.223177
2506	1.35324	0.478677	0.508997	0.221814
2507	1.35378	0.476878	0.508465	0.220448
2508	1.35432	0.475068	0.507937	0.21908
2509	1.35486	0.473247	0.507412	0.217708
2510	1.3554	0.471415	0.506892	0.216334
2511	1.35594	0.469571	0.506376	0.214957
2512	1.35648	0.467717	0.505864	0.213577
2513	1.35702	0.465851	0.505356	0.212195
2514	1.35756	0.463973	0.504852	0.210809
2515	1.3581	0.462085	0.504351	0.209422
2516	1.35864	0.460186	0.503855	0.208032
2517	1.35918	0.458275	0.503362	0.206639
2518	1.35972	0.456354	0.502873	0.205245
2519	1.36026	0.454421	0.502388	0.203847
2520	1.3608	0.452478	0.501907	0.202448
2521	1.36134	0.450524	0.501429	0.201046
2522	1.36188	0.448559	0.500956	0.199643
2523	1.36242	0.446584	0.500486	0.198237
2524	1.36296	0.444598	0.500021	0.196829
2525	1.3635	0.442602	0.499559	0.195419
2526	1.36404	0.440596	0.499101	0.194009
2527	1.36458	0.43858	0.498646	0.192599
2528	1.36512	0.436554	0.498196	0.191183
2529	1.36566	0.434519	0.49775	0.189765
2530	1.3662	0.432473	0.497308	0.188345
2531	1.36674	0.430419	0.49687	0.186924
2532	1.36728	0.428355	0.496436	0.185501
2533	1.36782	0.426283	0.496007	0.184076
2534	1.36836	0.424202	0.495582	0.182651
2535	1.3689	0.422112	0.495161	0.181224
2536	1.36944	0.420015	0.494744	0.179795
2537	1.36998	0.417909	0.494332	0.178366
2538	1.37052	0.415796	0.493925	0.176935
2539	1.37106	0.413675	0.493522	0.175503
2540	1.3716	0.411547	0.493124	0.17407
2541	1.37214	0.409413	0.492731	0.172635
2542	1.37268	0.407272	0.492343	0.1712
2543	1.37322	0.405124	0.49196	0.169764
2544	1.37376	0.402971	0.491583	0.168327
2545	1.3743	0.400812	0.49121	0.166889
2546	1.37484	0.398648	0.490844	0.16545
2547	1.37538	0.396479	0.490482	0.16401
2548	1.37592	0.394306	0.490127	0.16257
2549	1.37646	0.392129	0.489777	0.161129
2550	1.377	0.389948	0.489434	0.159687
2551	1.37754	0.387763	0.489097	0.158245
2552	1.37808	0.385576	0.488766	0.156803
2553	1.37862	0.383386	0.488442	0.15536
2554	1.37916	0.381194	0.488124	0.153916
2555	1.3797	0.379	0.487813	0.152472
2556	1.38024	0.376805	0.48751	0.151028
2557	1.38078	0.37461	0.487213	0.149584
2558	1.38132	0.372414	0.486924	0.14814
2559	1.38186	0.370218	0.486643	0.146696
2560	1.3824	0.368023	0.48637	0.145251
2561	1.38294	0.365829	0.486105	0.143807
2562	1.38348	0.363637	0.485848	0.142362
2563	1.38402	0.361446	0.485599	0.140918
2564	1.38456	0.359259	0.485359	0.139474
2565	1.3851	0.357074	0.485128	0.13803
2566	1.38564	0.354894	0.484907	0.136587
2567	1.38618	0.352717	0.484694	0.135144
2568	1.38672	0.350545	0.484492	0.133701
2569	1.38726	0.348379	0.484299	0.132259
2570	1.3878	0.346218	0.484116	0.130817
2571	1.38834	0.344064	0.483944	0.129376
2572	1.38888	0.341917	0.483783	0.127935
2573	1.38942	0.339778	0.483632	0.126495
2574	1.38996	0.337646	0.483492	0.125056
2575	1.3905	0.335524	0.483364	0.123618
2576	1.39104	0.333411	0.483248	0.12218
2577	1.39158	0.331307	0.483144	0.120744
2578	1.39212	0.329215	0.483052	0.119308
2579	1.39266	0.327133	0.482972	0.117874
2580	1.3932	0.325064	0.482906	0.11644
2581	1.39374	0.323007	0.482852	0.115008
2582	1.39428	0.320963	0.482812	0.113577
2583	1.39482	0.318932	0.482786	0.112147
2584	1.39536	0.316916	0.482774	0.110718
2585	1.3959	0.314916	0.482775	0.10929
2586	1.39644	0.31293	0.482792	0.107865
2587	1.39698	0.310961	0.482823	0.10644
2588	1.39752	0.309009	0.48287	0.105017
2589	1.39806	0.307075	0.482932	0.103596
2590	1.3986	0.305159	0.48301	0.102176
2591	1.39914	0.303262	0.483105	0.100758
2592	1.39968	0.301385	0.483215	0.0993411
2593	1.40022	0.299528	0.483343	0.0979264
2594	1.40076	0.297692	0.483488	0.0965135
2595	1.4013	0.295877	0.48365	0.0951025
2596	1.40184	0.294085	0.483829	0.0936935
2597	1.40238	0.292316	0.484027	0.0922864
2598	1.40292	0.290571	0.484243	0.0908814
2599	1.40346	0.28885	0.484478	0.0894784
2600	1.404	0.287154	0.484732	0.0880776
2601	1.40454	0.285484	0.485005	0.0866789
2602	1.40508	0.283841	0.485298	0.0852826
2603	1.40562	0.282224	0.485611	0.0838885
2604	1.40616	0.280636	0.485944	0.0824967
2605	1.4067	0.279075	0.486298	0.0811073
2606	1.40724	0.277544	0.486672	0.0797204
2607	1.40778	0.276043	0.487068	0.078336
2608	1.40832	0.274572	0.487486	0.0769542
2609	1.40886	0.273133	0.487925	0.0755749
2610	1.4094	0.271725	0.488387	0.0741983
2611	1.40994	0.27035	0.488871	0.0728244
2612	1.41048	0.269008	0.489378	0.0714532
2613	1.41102	0.2677	0.489908	0.0700848
2614	1.41156	0.266426	0.490461	0.0687193
2615	1.4121	0.265188	0.491039	0.0673567
2616	1.41264	0.263985	0.49164	0.065997
2617	1.41318	0.262819	0.492266	0.0646404
2618	1.41372	0.26169	0.492916	0.0632867
2619	1.41426	0.260599	0.493591	0.0619362
2620	1.4148	0.259546	0.494292	0.0605888
2621	1.41534	0.258532	0.495018	0.0592446
2622	1.41588	0.257558	0.49577	0.0579036
2623	1.41642	0.256624	0.496548	0.056566
2624	1.41696	0.255731	0.497352	0.0552316
2625	1.4175	0.254879	0.498183	0.0539007
2626	1.41804	0.25407	0.499041	0.0525731
2627	1.41858	0.253303	0.499926	0.0512491
2628	1.41912	0.252579	0.500838	0.0499286
2629	1.41966	0.251899	0.501778	0.0486116
2630	1.4202	0.251264	0.502747	0.0472982
2631	1.42074	0.250673	0.503743	0.0459886
2632	1.42128	0.250128	0.504768	0.0446826
2633	1.42182	0.249629	0.505821	0.0433804
2634	1.42236	0.249177	0.506904	0.0420819
2635	1.4229	0.248771	0.508015	0.0407873
2636	1.42344	0.248413	0.509156	0.0394966
2637	1.42398	0.248104	0.510326	0.0382099
2638	1.42452	0.247842	0.511527	0.0369271
2639	1.42506	0.24763	0.512757	0.0356483
2640	1.4256	0.247468	0.514017	0.0343736
2641	1.42614	0.247355	0.515308	0.033103
2642	1.42668	0.247293	0.516629	0.0318365
2643	1.42722	0.247281	0.517981	0.0305742
2644	1.42776	0.247321	0.519364	0.0293162
2645	1.4283	0.247412	0.520778	0.0280625
2646	1.42884	0.247556	0.522223	0.026813
2647	1.42938	0.247752	0.5237	0.025568
2648	1.42992	0.248001	0.525208	0.0243273
2649	1.43046	0.248303	0.526747	0.0230911
2650	1.431	0.248659	0.528318	0.0218593
2651	1.43154	0.249069	0.529922	0.0206321
2652	1.43208	0.249533	0.531557	0.0194095
2653	1.43262	0.250052	0.533224	0.0181914
2654	1.43316	0.250626	0.534924	0.016978
2655	1.4337	0.251255	0.536655	0.0157693
2656	1.43424	0.251939	0.538419	0.0145653
2657	1.43478	0.252679	0.540216	0.0133661
2658	1.43532	0.253476	0.542045	0.0121717
2659	1.43586	0.254328	0.543906	0.0109821
2660	1.4364	0.255236	0.5458	0.00979742
2661	1.43694	0.256201	0.547727	0.00861763
2662	1.43748	0.257223	0.549686	0.0074428
2663	1.43802	0.258302	0.551678	0.00627296
2664	1.43856	0.259438	0.553702	0.00510815
2665	1.4391	0.260631	0.555759	0.0039484
2666	1.43964	0.261881	0.557849	0.00279375
2667	1.44018	0.263189	0.559971	0.00164423
2668	1.44072	0.264555	0.562126	0.000499893
2669	1.44126	0.265978	0.564313	-0.000639242
2670	1.4418	0.267458	0.566533	-0.00177313
2671	1.44234	0.268997	0.568785	-0.00290175
2672	1.44288	0.270593	0.57107	-0.00402506
2673	1.44342	0.272246	0.573387	-0.00514302
2674	1.44396	0.273958	0.575736	-0.0062556
2675	1.4445	0.275727	0.578117	-0.00736278
2676	1.44504	0.277554	0.58053	-0.0084645
2677	1.44558	0.279438	0.582975	-0.00956076
2678	1.44612	0.28138	0.585452	-0.0106515
2679	1.44666	0.28338	0.58796	-0.0117367
2680	1.4472	0.285436	0.5905	-0.0128163
2681	1.44774	0.28755	0.593071	-0.0138904
2682	1.44828	0.289721	0.595673	-0.0149587
2683	1.44882	0.291948	0.598306	-0.0160215
2684	1.44936	0.294233	0.60097	-0.0170785
2685	1.4499	0.296573	0.603665	-0.0181298
2686	1.45044	0.298971	0.60639	-0.0191753
2687	1.45098	0.301424	0.609145	-0.0202151
2688	1.45152	0.303932	0.61193	-0.0212491
2689	1.45206	0.306497	0.614744	-0.0222772
2690	1.4526	0.309116	0.617588	-0.0232994
2691	1.45314	0.311791	0.620462	-0.0243158
2692	1.45368	0.31452	0.623364	-0.0253262
2693	1.45422	0.317303	0.626295	-0.0263306
2694	1.45476	0.32014	0.629254	-0.0273291
2695	1.4553	0.323031	0.632241	-0.0283216
2696	1.45584	0.325975	0.635257	-0.029308
2697	1.45638	0.328972	0.638299	-0.0302884
2698	1.45692	0.332021	0.641369	-0.0312627
2699	1.45746	0.335121	0.644465	-0.0322309
2700	1.458	0.338274	0.647588	-0.033193
2701	1.45854	0.341477	0.650738	-0.0341489
2702	1.45908	0.344731	0.653913	-0.0350986
2703	1.45962	0.348034	0.657113	-0.0360422
2704	1.46016	0.351388	0.660338	-0.0369795
2705	1.4607	0.35479	0.663588	-0.0379105
2706	1.46124	0.35824	0.666863	-0.0388353
2707	1.46178	0.361738	0.670161	-0.0397537
2708	1.46232	0.365284	0.673483	-0.0406659
2709	1.46286	0.368876	0.676827	-0.0415717
2710	1.4634	0.372514	0.680195	-0.0424712
2711	1.46394	0.376198	0.683584	-0.0433643
2712	1.46448	0.379926	0.686995	-0.044251
2713	1.46502	0.383698	0.690428	-0.0451312
2714	1.46556	0.387514	0.693881	-0.0460051
