TimeSlice	Time	LH_Knee	LH_HipZ	LH_AnkleZ
1884	1.01736	-0.946884	-0.692414	-1.46283
1885	1.0179	-0.943578	-0.695029	-1.46154
1886	1.01844	-0.940236	-0.697611	-1.46016
1887	1.01898	-0.93686	-0.70016	-1.45867
1888	1.01952	-0.93345	-0.702676	-1.45709
1889	1.02006	-0.930007	-0.705159	-1.45541
1890	1.0206	-0.926531	-0.707608	-1.45363
1891	1.02114	-0.923024	-0.710023	-1.45176
1892	1.02168	-0.919485	-0.712404	-1.44979
1893	1.02222	-0.915916	-0.714751	-1.44773
1894	1.02276	-0.912317	-0.717063	-1.44557
1895	1.0233	-0.908689	-0.719339	-1.44332
1896	1.02384	-0.905033	-0.721581	-1.44097
1897	1.02438	-0.901349	-0.723788	-1.43854
1898	1.02492	-0.897638	-0.725959	-1.43601
1899	1.02546	-0.893902	-0.728094	-1.43339
1900	1.026	-0.89014	-0.730193	-1.43068
1901	1.02654	-0.886353	-0.732256	-1.42788
1902	1.02708	-0.882543	-0.734282	-1.42499
1903	1.02762	-0.87871	-0.736272	-1.42201
1904	1.02816	-0.874855	-0.738226	-1.41894
1905	1.0287	-0.870979	-0.740142	-1.41579
1906	1.02924	-0.867082	-0.742022	-1.41256
1907	1.02978	-0.863166	-0.743864	-1.40924
1908	1.03032	-0.85923	-0.74567	-1.40583
1909	1.03086	-0.855277	-0.747438	-1.40235
1910	1.0314	-0.851307	-0.749169	-1.39878
1911	1.03194	-0.84732	-0.750862	-1.39514
1912	1.03248	-0.843318	-0.752518	-1.39141
1913	1.03302	-0.839301	-0.754136	-1.38761
1914	1.03356	-0.83527	-0.755716	-1.38373
1915	1.0341	-0.831227	-0.757259	-1.37978
1916	1.03464	-0.827172	-0.758764	-1.37575
1917	1.03518	-0.823105	-0.760231	-1.37165
1918	1.03572	-0.819028	-0.76166	-1.36747
1919	1.03626	-0.814942	-0.763052	-1.36323
1920	1.0368	-0.810847	-0.764405	-1.35892
1921	1.03734	-0.806744	-0.765721	-1.35454
1922	1.03788	-0.802635	-0.766999	-1.3501
1923	1.03842	-0.79852	-0.76824	-1.34559
1924	1.03896	-0.7944	-0.769442	-1.34101
1925	1.0395	-0.790276	-0.770607	-1.33638
1926	1.04004	-0.786148	-0.771734	-1.33169
1927	1.04058	-0.782019	-0.772824	-1.32693
1928	1.04112	-0.777887	-0.773876	-1.32212
1929	1.04166	-0.773756	-0.77489	-1.31726
