TimeSlice	Time	LH_AnkleZ	LH_Knee	LH_HipZ
11735	6.3369	-1.77286	-0.398688	-0.633428
11736	6.33744	-1.77285	-0.398648	-0.633413
11737	6.33798	-1.77284	-0.398608	-0.633398
11738	6.33852	-1.77284	-0.398568	-0.633384
11739	6.33906	-1.77283	-0.398528	-0.633369
11740	6.3396	-1.77283	-0.398487	-0.633355
11741	6.34014	-1.77282	-0.398447	-0.633341
11742	6.34068	-1.77281	-0.398406	-0.633327
11743	6.34122	-1.77281	-0.398365	-0.633313
11744	6.34176	-1.7728	-0.398323	-0.6333
11745	6.3423	-1.7728	-0.398282	-0.633286
11746	6.34284	-1.77279	-0.39824	-0.633273
11747	6.34338	-1.77278	-0.398198	-0.63326
11748	6.34392	-1.77278	-0.398156	-0.633247
11749	6.34446	-1.77277	-0.398113	-0.633234
11750	6.345	-1.77277	-0.398071	-0.633221
11751	6.34554	-1.77276	-0.398028	-0.633208
11752	6.34608	-1.77276	-0.397985	-0.633195
11753	6.34662	-1.77275	-0.397943	-0.633183
11754	6.34716	-1.77275	-0.3979	-0.633171
11755	6.3477	-1.77274	-0.397857	-0.633158
11756	6.34824	-1.77274	-0.397815	-0.633146
11757	6.34878	-1.77273	-0.397772	-0.633134
11758	6.34932	-1.77273	-0.39773	-0.633122
11759	6.34986	-1.77272	-0.397688	-0.63311
11760	6.3504	-1.77272	-0.397646	-0.633098
11761	6.35094	-1.77271	-0.397604	-0.633086
11762	6.35148	-1.77271	-0.397563	-0.633075
11763	6.35202	-1.7727	-0.397522	-0.633063
11764	6.35256	-1.7727	-0.397481	-0.633051
11765	6.3531	-1.77269	-0.397441	-0.63304
11766	6.35364	-1.77269	-0.397401	-0.633028
11767	6.35418	-1.77268	-0.397362	-0.633017
11768	6.35472	-1.77268	-0.397323	-0.633005
11769	6.35526	-1.77268	-0.397284	-0.632994
11770	6.3558	-1.77267	-0.397245	-0.632983
11771	6.35634	-1.77267	-0.397207	-0.632971
11772	6.35688	-1.77266	-0.397169	-0.63296
11773	6.35742	-1.77266	-0.397132	-0.632949
11774	6.35796	-1.77266	-0.397095	-0.632938
11775	6.3585	-1.77265	-0.397058	-0.632926
11776	6.35904	-1.77265	-0.397021	-0.632915
11777	6.35958	-1.77264	-0.396985	-0.632904
11778	6.36012	-1.77264	-0.396948	-0.632893
11779	6.36066	-1.77264	-0.396912	-0.632881
11780	6.3612	-1.77263	-0.396876	-0.63287
11781	6.36174	-1.77263	-0.39684	-0.632859
11782	6.36228	-1.77262	-0.396803	-0.632848
11783	6.36282	-1.77262	-0.396767	-0.632836
11784	6.36336	-1.77262	-0.396731	-0.632825
11785	6.3639	-1.77261	-0.396694	-0.632814
11786	6.36444	-1.77261	-0.396658	-0.632803
11787	6.36498	-1.77261	-0.396621	-0.632791
11788	6.36552	-1.7726	-0.396584	-0.63278
11789	6.36606	-1.7726	-0.396547	-0.632768
11790	6.3666	-1.7726	-0.396509	-0.632757
11791	6.36714	-1.7726	-0.396471	-0.632745
11792	6.36768	-1.77259	-0.396433	-0.632734
11793	6.36822	-1.77259	-0.396395	-0.632722
11794	6.36876	-1.77259	-0.396356	-0.632711
11795	6.3693	-1.77258	-0.396317	-0.632699
11796	6.36984	-1.77258	-0.396278	-0.632687
11797	6.37038	-1.77258	-0.396238	-0.632675
11798	6.37092	-1.77258	-0.396199	-0.632663
11799	6.37146	-1.77257	-0.396158	-0.632651
11800	6.372	-1.77257	-0.396118	-0.632639
11801	6.37254	-1.77257	-0.396077	-0.632627
11802	6.37308	-1.77257	-0.396037	-0.632615
11803	6.37362	-1.77256	-0.395996	-0.632603
11804	6.37416	-1.77256	-0.395955	-0.63259
11805	6.3747	-1.77256	-0.395913	-0.632578
11806	6.37524	-1.77256	-0.395872	-0.632565
11807	6.37578	-1.77255	-0.395831	-0.632553
11808	6.37632	-1.77255	-0.395789	-0.63254
11809	6.37686	-1.77255	-0.395748	-0.632527
11810	6.3774	-1.77255	-0.395706	-0.632514
11811	6.37794	-1.77255	-0.395665	-0.632501
11812	6.37848	-1.77254	-0.395624	-0.632488
11813	6.37902	-1.77254	-0.395583	-0.632474
11814	6.37956	-1.77254	-0.395541	-0.632461
11815	6.3801	-1.77254	-0.3955	-0.632448
11816	6.38064	-1.77254	-0.39546	-0.632434
11817	6.38118	-1.77254	-0.395419	-0.63242
11818	6.38172	-1.77254	-0.395378	-0.632406
11819	6.38226	-1.77253	-0.395338	-0.632392
11820	6.3828	-1.77253	-0.395297	-0.632378
11821	6.38334	-1.77253	-0.395257	-0.632364
11822	6.38388	-1.77253	-0.395217	-0.632349
11823	6.38442	-1.77253	-0.395177	-0.632335
11824	6.38496	-1.77253	-0.395137	-0.63232
11825	6.3855	-1.77253	-0.395097	-0.632305
11826	6.38604	-1.77253	-0.395058	-0.63229
11827	6.38658	-1.77253	-0.395018	-0.632275
11828	6.38712	-1.77252	-0.394978	-0.63226
11829	6.38766	-1.77252	-0.394938	-0.632245
11830	6.3882	-1.77252	-0.394898	-0.632229
11831	6.38874	-1.77252	-0.394859	-0.632214
11832	6.38928	-1.77252	-0.394818	-0.632198
11833	6.38982	-1.77252	-0.394778	-0.632182
11834	6.39036	-1.77252	-0.394738	-0.632166
11835	6.3909	-1.77252	-0.394697	-0.632149
11836	6.39144	-1.77252	-0.394657	-0.632133
11837	6.39198	-1.77252	-0.394616	-0.632116
11838	6.39252	-1.77252	-0.394575	-0.6321
11839	6.39306	-1.77252	-0.394533	-0.632083
11840	6.3936	-1.77252	-0.394491	-0.632066
11841	6.39414	-1.77252	-0.394449	-0.632049
11842	6.39468	-1.77252	-0.394407	-0.632031
11843	6.39522	-1.77252	-0.394364	-0.632014
11844	6.39576	-1.77252	-0.394321	-0.631996
11845	6.3963	-1.77252	-0.394278	-0.631978
11846	6.39684	-1.77252	-0.394234	-0.63196
11847	6.39738	-1.77252	-0.39419	-0.631942
11848	6.39792	-1.77252	-0.394146	-0.631924
11849	6.39846	-1.77252	-0.394101	-0.631905
11850	6.399	-1.77252	-0.394056	-0.631886
11851	6.39954	-1.77252	-0.394011	-0.631868
11852	6.40008	-1.77252	-0.393966	-0.631849
11853	6.40062	-1.77252	-0.39392	-0.631829
11854	6.40116	-1.77252	-0.393874	-0.63181
11855	6.4017	-1.77252	-0.393828	-0.631791
11856	6.40224	-1.77252	-0.393782	-0.631771
11857	6.40278	-1.77252	-0.393736	-0.631751
11858	6.40332	-1.77252	-0.393689	-0.631731
11859	6.40386	-1.77252	-0.393643	-0.631711
11860	6.4044	-1.77252	-0.393596	-0.631691
11861	6.40494	-1.77252	-0.393549	-0.63167
11862	6.40548	-1.77252	-0.393503	-0.631649
11863	6.40602	-1.77252	-0.393456	-0.631628
11864	6.40656	-1.77252	-0.393409	-0.631607
11865	6.4071	-1.77252	-0.393362	-0.631586
11866	6.40764	-1.77252	-0.393316	-0.631565
11867	6.40818	-1.77252	-0.393269	-0.631543
11868	6.40872	-1.77252	-0.393223	-0.631522
11869	6.40926	-1.77252	-0.393176	-0.6315
11870	6.4098	-1.77252	-0.393129	-0.631478
11871	6.41034	-1.77252	-0.393083	-0.631456
11872	6.41088	-1.77252	-0.393037	-0.631433
11873	6.41142	-1.77252	-0.39299	-0.631411
11874	6.41196	-1.77252	-0.392944	-0.631388
11875	6.4125	-1.77252	-0.392898	-0.631365
11876	6.41304	-1.77252	-0.392851	-0.631342
11877	6.41358	-1.77252	-0.392805	-0.631319
11878	6.41412	-1.77252	-0.392759	-0.631296
11879	6.41466	-1.77252	-0.392712	-0.631272
11880	6.4152	-1.77252	-0.392666	-0.631249
11881	6.41574	-1.77252	-0.392619	-0.631225
11882	6.41628	-1.77252	-0.392573	-0.631201
11883	6.41682	-1.77252	-0.392526	-0.631177
11884	6.41736	-1.77252	-0.392479	-0.631153
11885	6.4179	-1.77252	-0.392432	-0.631128
11886	6.41844	-1.77251	-0.392385	-0.631104
11887	6.41898	-1.77251	-0.392337	-0.631079
11888	6.41952	-1.77251	-0.392289	-0.631054
11889	6.42006	-1.77251	-0.392241	-0.631029
11890	6.4206	-1.77251	-0.392193	-0.631004
11891	6.42114	-1.77251	-0.392145	-0.630979
11892	6.42168	-1.77251	-0.392096	-0.630954
11893	6.42222	-1.77251	-0.392047	-0.630928
11894	6.42276	-1.77251	-0.391998	-0.630902
11895	6.4233	-1.77251	-0.391948	-0.630877
11896	6.42384	-1.77251	-0.391899	-0.630851
11897	6.42438	-1.7725	-0.391849	-0.630825
11898	6.42492	-1.7725	-0.391798	-0.630799
11899	6.42546	-1.7725	-0.391748	-0.630772
11900	6.426	-1.7725	-0.391697	-0.630746
11901	6.42654	-1.7725	-0.391646	-0.630719
11902	6.42708	-1.7725	-0.391595	-0.630693
11903	6.42762	-1.7725	-0.391544	-0.630666
11904	6.42816	-1.77249	-0.391492	-0.630639
11905	6.4287	-1.77249	-0.39144	-0.630612
11906	6.42924	-1.77249	-0.391389	-0.630585
11907	6.42978	-1.77249	-0.391337	-0.630557
11908	6.43032	-1.77249	-0.391285	-0.63053
11909	6.43086	-1.77249	-0.391232	-0.630503
11910	6.4314	-1.77248	-0.39118	-0.630475
11911	6.43194	-1.77248	-0.391128	-0.630447
11912	6.43248	-1.77248	-0.391076	-0.630419
11913	6.43302	-1.77248	-0.391024	-0.630392
11914	6.43356	-1.77248	-0.390971	-0.630364
11915	6.4341	-1.77247	-0.390919	-0.630336
11916	6.43464	-1.77247	-0.390867	-0.630307
11917	6.43518	-1.77247	-0.390815	-0.630279
11918	6.43572	-1.77247	-0.390763	-0.630251
11919	6.43626	-1.77246	-0.390711	-0.630222
11920	6.4368	-1.77246	-0.390658	-0.630194
11921	6.43734	-1.77246	-0.390607	-0.630165
11922	6.43788	-1.77246	-0.390555	-0.630137
11923	6.43842	-1.77246	-0.390503	-0.630108
11924	6.43896	-1.77245	-0.390451	-0.630079
11925	6.4395	-1.77245	-0.390399	-0.63005
11926	6.44004	-1.77245	-0.390347	-0.630021
11927	6.44058	-1.77245	-0.390296	-0.629992
11928	6.44112	-1.77244	-0.390244	-0.629963
11929	6.44166	-1.77244	-0.390192	-0.629934
11930	6.4422	-1.77244	-0.390141	-0.629905
11931	6.44274	-1.77243	-0.390089	-0.629876
11932	6.44328	-1.77243	-0.390037	-0.629847
11933	6.44382	-1.77243	-0.389985	-0.629817
11934	6.44436	-1.77243	-0.389933	-0.629788
11935	6.4449	-1.77242	-0.389881	-0.629759
11936	6.44544	-1.77242	-0.389829	-0.629729
11937	6.44598	-1.77242	-0.389777	-0.6297
11938	6.44652	-1.77241	-0.389725	-0.62967
11939	6.44706	-1.77241	-0.389672	-0.629641
11940	6.4476	-1.77241	-0.38962	-0.629611
11941	6.44814	-1.7724	-0.389567	-0.629582
11942	6.44868	-1.7724	-0.389515	-0.629552
11943	6.44922	-1.7724	-0.389462	-0.629523
11944	6.44976	-1.77239	-0.389409	-0.629493
11945	6.4503	-1.77239	-0.389355	-0.629464
11946	6.45084	-1.77239	-0.389302	-0.629434
11947	6.45138	-1.77239	-0.389249	-0.629404
11948	6.45192	-1.77238	-0.389195	-0.629375
11949	6.45246	-1.77238	-0.389141	-0.629345
11950	6.453	-1.77237	-0.389088	-0.629316
11951	6.45354	-1.77237	-0.389034	-0.629286
11952	6.45408	-1.77237	-0.38898	-0.629257
11953	6.45462	-1.77236	-0.388925	-0.629227
11954	6.45516	-1.77236	-0.388871	-0.629198
11955	6.4557	-1.77236	-0.388817	-0.629168
11956	6.45624	-1.77235	-0.388763	-0.629139
11957	6.45678	-1.77235	-0.388708	-0.629109
11958	6.45732	-1.77235	-0.388654	-0.62908
11959	6.45786	-1.77234	-0.388599	-0.62905
11960	6.4584	-1.77234	-0.388544	-0.629021
11961	6.45894	-1.77233	-0.388489	-0.628992
11962	6.45948	-1.77233	-0.388434	-0.628963
11963	6.46002	-1.77233	-0.388379	-0.628933
11964	6.46056	-1.77232	-0.388324	-0.628904
11965	6.4611	-1.77232	-0.388269	-0.628875
11966	6.46164	-1.77232	-0.388214	-0.628846
11967	6.46218	-1.77231	-0.388159	-0.628817
11968	6.46272	-1.77231	-0.388104	-0.628788
11969	6.46326	-1.7723	-0.388049	-0.628759
11970	6.4638	-1.7723	-0.387994	-0.628731
11971	6.46434	-1.7723	-0.38794	-0.628702
11972	6.46488	-1.77229	-0.387886	-0.628673
11973	6.46542	-1.77229	-0.387832	-0.628645
11974	6.46596	-1.77228	-0.387778	-0.628616
11975	6.4665	-1.77228	-0.387725	-0.628588
